term,term_adapted,term_context,Sociability,Morality,Assertiveness,Ability,Beliefs,Status,Health,Emotions,Geography,Occupation,Appearance,Beauty,Family,Deviance,SocialGroups,Gender,Race,Age,Sexual.Orientation,Valence,Valence_dir,Sociability_dir,Morality_dir,Assertiveness_dir,Ability_dir,Beliefs_dir,Status_dir,Health_dir,Geography_dir,Occupation_dir,Beauty_dir,Deviance_dir,Activation_dir,Emotionalvalence_dir,Age.youngtoold_dir,SexOr.LGBtostr8_dir,Gender.femtomasc_dir,Gender.nonbinary&trans,Sum,Sentence,Sentence_bold,Sentence_qualtrics,Sentence_bold_qualtrics,Sentence_bold_qualtrics2
masculine,masculine,A person who is masculine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,If a person is masculine they are also likely to be:,If a person is <b>masculine</b> they are also likely to be:,"""If a person is masculine they are also likely to be:"",","""If a person is <b>masculine</b> they are also likely to be:"",","""If a person is <b>masculine</b> they are also likely to:"","
female,female,A person who is female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,2,If a person is female they are also likely to be:,If a person is <b>female</b> they are also likely to be:,"""If a person is female they are also likely to be:"",","""If a person is <b>female</b> they are also likely to be:"",","""If a person is <b>female</b> they are also likely to:"","
woman,a woman,A person who is a woman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,2,If a person is a woman they are also likely to be:,If a person is <b>a woman</b> they are also likely to be:,"""If a person is a woman they are also likely to be:"",","""If a person is <b>a woman</b> they are also likely to be:"",","""If a person is <b>a woman</b> they are also likely to:"","
lady,a lady,A person who is a lady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,2,If a person is a lady they are also likely to be:,If a person is <b>a lady</b> they are also likely to be:,"""If a person is a lady they are also likely to be:"",","""If a person is <b>a lady</b> they are also likely to be:"",","""If a person is <b>a lady</b> they are also likely to:"","
miss,a miss,A person who is a miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,2,If a person is a miss they are also likely to be:,If a person is <b>a miss</b> they are also likely to be:,"""If a person is a miss they are also likely to be:"",","""If a person is <b>a miss</b> they are also likely to be:"",","""If a person is <b>a miss</b> they are also likely to:"","
gal,a gal,A person who is a gal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,2,If a person is a gal they are also likely to be:,If a person is <b>a gal</b> they are also likely to be:,"""If a person is a gal they are also likely to be:"",","""If a person is <b>a gal</b> they are also likely to be:"",","""If a person is <b>a gal</b> they are also likely to:"","
feminine,feminine,A person who is feminine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,2,If a person is feminine they are also likely to be:,If a person is <b>feminine</b> they are also likely to be:,"""If a person is feminine they are also likely to be:"",","""If a person is <b>feminine</b> they are also likely to be:"",","""If a person is <b>feminine</b> they are also likely to:"","
trans,trans,A person who is trans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,If a person is trans they are also likely to be:,If a person is <b>trans</b> they are also likely to be:,"""If a person is trans they are also likely to be:"",","""If a person is <b>trans</b> they are also likely to be:"",","""If a person is <b>trans</b> they are also likely to:"","
transgender,transgender,A person who is transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,If a person is transgender they are also likely to be:,If a person is <b>transgender</b> they are also likely to be:,"""If a person is transgender they are also likely to be:"",","""If a person is <b>transgender</b> they are also likely to be:"",","""If a person is <b>transgender</b> they are also likely to:"","
transsexual,transsexual,A person who is transexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,If a person is transexual they are also likely to be:,If a person is <b>transexual</b> they are also likely to be:,"""If a person is transexual they are also likely to be:"",","""If a person is <b>transexual</b> they are also likely to be:"",","""If a person is <b>transexual</b> they are also likely to:"","
nonbinary,nonbinary,A person who is nonbinary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,If a person is nonbinary they are also likely to be:,If a person is <b>nonbinary</b> they are also likely to be:,"""If a person is nonbinary they are also likely to be:"",","""If a person is <b>nonbinary</b> they are also likely to be:"",","""If a person is <b>nonbinary</b> they are also likely to:"","
cisgender,cisgender,A person who is cisgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,If a person is cisgender they are also likely to be:,If a person is <b>cisgender</b> they are also likely to be:,"""If a person is cisgender they are also likely to be:"",","""If a person is <b>cisgender</b> they are also likely to be:"",","""If a person is <b>cisgender</b> they are also likely to:"","
disinterested,disinterested,A person who is disinterested,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,1,If a person is disinterested they are also likely to be:,If a person is <b>disinterested</b> they are also likely to be:,"""If a person is disinterested they are also likely to be:"",","""If a person is <b>disinterested</b> they are also likely to be:"",","""If a person is <b>disinterested</b> they are also likely to:"","
sad,sad,A person who is sad,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,1,If a person is sad they are also likely to be:,If a person is <b>sad</b> they are also likely to be:,"""If a person is sad they are also likely to be:"",","""If a person is <b>sad</b> they are also likely to be:"",","""If a person is <b>sad</b> they are also likely to:"","
unhappy,unhappy,A person who is unhappy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,NA,1,If a person is unhappy they are also likely to be:,If a person is <b>unhappy</b> they are also likely to be:,"""If a person is unhappy they are also likely to be:"",","""If a person is <b>unhappy</b> they are also likely to be:"",","""If a person is <b>unhappy</b> they are also likely to:"","
unemotional,unemotional,A person who is unemotional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,1,If a person is unemotional they are also likely to be:,If a person is <b>unemotional</b> they are also likely to be:,"""If a person is unemotional they are also likely to be:"",","""If a person is <b>unemotional</b> they are also likely to be:"",","""If a person is <b>unemotional</b> they are also likely to:"","
unaroused,unaroused,A person who is unaroused,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,1,,,,,
low energy,low energy,A person who is low energy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,1,,,,,
relaxed,relaxed,A person who is relaxed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,NA,NA,NA,NA,1,,,,,
serene,serene,A person who is serene,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,NA,NA,NA,NA,1,,,,,
content,content,A person who is content,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,NA,NA,NA,NA,1,If a person is content they are also likely to be:,If a person is <b>content</b> they are also likely to be:,"""If a person is content they are also likely to be:"",","""If a person is <b>content</b> they are also likely to be:"",","""If a person is <b>content</b> they are also likely to:"","
angry,angry,A person who is angry,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,1,If a person is angry they are also likely to be:,If a person is <b>angry</b> they are also likely to be:,"""If a person is angry they are also likely to be:"",","""If a person is <b>angry</b> they are also likely to be:"",","""If a person is <b>angry</b> they are also likely to:"","
disgusted,disgusted,A person who is disgusted,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,1,If a person is disgusted they are also likely to be:,If a person is <b>disgusted</b> they are also likely to be:,"""If a person is disgusted they are also likely to be:"",","""If a person is <b>disgusted</b> they are also likely to be:"",","""If a person is <b>disgusted</b> they are also likely to:"","
embarrassed,embarrassed,A person who is embarrassed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,1,If a person is embarrassed they are also likely to be:,If a person is <b>embarrassed</b> they are also likely to be:,"""If a person is embarrassed they are also likely to be:"",","""If a person is <b>embarrassed</b> they are also likely to be:"",","""If a person is <b>embarrassed</b> they are also likely to:"","
proud,proud,A person who is proud,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,If a person is prideful they are also likely to be:,If a person is <b>prideful</b> they are also likely to be:,"""If a person is prideful they are also likely to be:"",","""If a person is <b>prideful</b> they are also likely to be:"",","""If a person is <b>prideful</b> they are also likely to:"","
surprised,surprised,A person who is surprised,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,If a person is surprised they are also likely to be:,If a person is <b>surprised</b> they are also likely to be:,"""If a person is surprised they are also likely to be:"",","""If a person is <b>surprised</b> they are also likely to be:"",","""If a person is <b>surprised</b> they are also likely to:"","
amused,amused,A person who is amused,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,If a person is amused they are also likely to be:,If a person is <b>amused</b> they are also likely to be:,"""If a person is amused they are also likely to be:"",","""If a person is <b>amused</b> they are also likely to be:"",","""If a person is <b>amused</b> they are also likely to:"","
